# Plot results from renaissance 
# X           Y   values0	2.90522e-310
1	0.275396
2	0.718672
3	1.32487
4	2.13639
5	3.14363
6	4.28998
7	5.49029
8	6.65782
9	7.73194
10	8.69837
11	9.59543
12	10.5032
13	11.5174
14	12.7128
15	14.1073
16	15.6337
17	17.1308
18	18.3558
19	19.0195
20	18.8375
21	17.588
22	15.1636
23	11.6056
24	7.11259
25	2.01994
26	-3.24652
27	-8.23439
28	-12.5338
29	-15.8381
30	-17.9848
31	-18.9693
32	-18.9298
33	-18.1079
34	-16.7941
35	-15.2709
36	-13.7644
37	-12.414
38	-11.2654
39	-10.2843
40	-9.38753
41	-8.48018
42	-7.49004
43	-6.3908
44	-5.20877
45	-4.01291
46	-2.8922
47	-1.92729
48	-1.16502
49	-0.602654
50	-0.18652
51	0.175044
52	0.587971
53	1.14476
54	1.90053
55	2.85963
56	3.97661
57	5.17151
58	6.35518
59	7.45764
60	8.45103
61	9.36006
62	10.2557
63	11.2328
64	2.90522e-310
65	0.0963256
66	0.128044
67	0.17642
68	0.229018
69	0.272758
70	0.297646
71	0.299685
72	0.282102
73	0.254484
74	0.229971
75	0.221172
76	0.235871
77	0.273691
78	0.324693
79	0.370469
80	0.387653
81	0.353173
82	0.250088
83	0.0726359
84	-0.170775
85	-0.457462
86	-0.753478
87	-1.01923
88	-1.21661
89	-1.31615
90	-1.30266
91	-1.17822
92	-0.96173
93	-0.685281
94	-0.387997
95	-0.108753
96	0.120725
97	0.280944
98	0.366942
99	0.387466
100	0.3614
101	0.312408
102	0.263117
103	0.230181
104	0.221299
105	0.234726
106	0.261191
107	0.287565
108	0.301205
109	0.293828
110	0.263904
111	0.217019
112	0.164198
113	0.118715
114	0.0923136
115	0.091892
116	0.11756
117	0.162611
118	0.215406
119	0.262661
120	0.293228
121	0.301318
122	0.288235
123	0.26208
124	0.235412
125	0.221412
126	0.229531
127	0.261787
